,p1,p2,p3,p4,p5 p5-p1
ivolatility,0.644,0.591,0.749,0.433,1.187,0.543**
price,1.289,0.904,0.562,0.547,0.394,-0.895**
zerofreq,0.955,0.985,0.597,0.744,0.725,-0.231
analysts,0.903,1.201,1.028,0.805,0.446,-0.457
size,0.91,0.929,0.79,1.009,1.141,0.231
